RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
350.98769223015;+71.42927418099;    0.4951;    0.830;    0.436;19.1306;19.8886;18.2899
350.97127897211;+71.42976743865;   -0.2251;   -1.484;   -1.117;19.3971;19.9789;18.6200
351.07403530201;+71.45186228097;    0.2096;   -2.374;   -0.185;19.9584;       ;
351.06832095956;+71.45165328423;    0.3259;   -1.418;   -0.363;18.4955;19.0983;17.7035
351.05419192535;+71.44675695030;   -0.6040;    0.791;   -1.700;19.7347;20.4927;18.9681
351.03962756993;+71.44343674499;    0.8048;   -9.850;   -7.356;16.2269;16.9231;15.4088
351.09102321572;+71.45116472957;    0.1836;   -4.815;   -0.303;18.5741;19.2765;17.8174
351.01636805445;+71.43725846020;    0.5569;   -0.192;    0.843;20.0916;20.5322;19.3580
351.08661848406;+71.44963179827;    0.9637;    7.753;   -9.531;20.6315;21.7141;19.2518
351.07355640061;+71.45238882054;    0.2016;   -2.282;    0.525;19.0614;19.5189;18.1869
351.06916980081;+71.45502862073;    0.1413;   -0.832;    0.803;17.2353;18.0954;16.3259
351.06783086325;+71.44322623039;    0.0942;    0.586;    0.225;19.6309;20.3148;18.8039
351.05278859012;+71.44892805621;    0.4821;   -1.738;   -0.625;20.5099;20.9850;19.6301
351.04377680267;+71.44627687897;          ;         ;         ;20.9046;21.4107;19.4360
351.05078400251;+71.44569884957;    0.1954;    1.146;    4.093;20.5021;21.3898;19.2528
351.01361336323;+71.43640147620;    1.0193;  -18.951;    2.497;18.9057;19.9663;17.8262
351.04852141148;+71.43766183947;    0.5853;   -4.140;   -3.970;20.2105;21.4031;19.0062
351.04707831411;+71.43539983333;    0.3221;   -2.892;    0.732;19.8501;20.5193;19.0601
351.04630262717;+71.43996246042;    0.7072;   -2.247;    1.254;19.2225;20.2021;18.2263
351.05472488008;+71.45416127724;    0.1187;   -0.765;   -0.026;18.1944;18.8600;17.3953
351.02541331896;+71.44227301356;    0.3403;   -5.455;   -1.327;18.1811;18.8307;17.3652
351.05534371062;+71.44744232952;          ;         ;         ;20.9315;       ;
351.01672312877;+71.43235799972;    0.1825;   -3.894;   -0.438;18.7035;19.2637;17.9709
351.03168792594;+71.44165056208;          ;         ;         ;21.0678;       ;
351.00624217900;+71.42782249915;    0.6014;   -2.620;   -0.182;19.2302;19.7931;18.3883
351.09120921447;+71.45726008649;          ;         ;         ;20.8289;21.2757;19.7947
351.00369903606;+71.43060133626;    0.3222;    4.764;   -2.645;18.7366;19.6774;17.7354
350.18614829528;+71.37624065283;    0.6379;   -0.607;   -0.762;14.2808;14.7879;13.6141
350.23194075440;+71.39086573516;    0.6907;   10.492;    2.982;18.4055;19.4867;17.3176
350.21503455145;+71.38129073709;    0.2300;   -2.420;   -0.887;12.2639;13.6465;11.1191
350.23503712003;+71.38267486667;   -0.0016;   -1.233;   -0.139;17.7300;18.5959;16.7876
350.22582835687;+71.38516260547;    0.0298;   -1.162;   -4.025;18.9930;19.7908;18.0680
350.21832596447;+71.38553616073;    0.7095;    0.463;   -1.092;18.2044;18.9947;17.2782
350.20996294780;+71.37919623149;          ;         ;         ;20.9135;20.7495;19.2107
350.19863015936;+71.37742018927;    0.7315;    6.414;   -0.340;18.2868;19.1761;17.3560
350.23222804246;+71.39155105858;    0.2895;   -2.565;   -1.013;18.2491;19.1065;17.1960
350.19259237366;+71.37697560610;    0.2207;   -0.607;   -1.060;19.7200;20.2146;18.7036
350.23654414860;+71.37618978549;   -0.1688;    0.978;   -4.190;20.3563;20.7977;19.2764
350.11649027999;+71.38975431572;    0.1688;   -1.207;   -0.513;18.5789;19.2902;17.7412
350.12779568910;+71.38033355846;   -0.2703;   -1.292;    0.447;19.5802;20.3065;18.7092
350.19936417658;+71.40174195465;    0.3711;   -0.736;    0.154;17.4327;18.1519;16.5780
350.18625420390;+71.38592333293;    0.9582;   -1.060;    1.618;19.7439;21.0354;18.5325
350.22252880308;+71.40746091261;    2.2365;   -1.616;   -0.478;19.7456;21.3301;18.4531
350.14618573932;+71.39094105299;          ;         ;         ;20.9371;21.2385;20.1501
350.14734597039;+71.39381276887;   -0.2795;   -1.388;   -1.047;20.1218;20.7118;19.2328
350.19758210980;+71.40030304126;   -1.6455;   -0.489;    0.611;20.6649;20.5525;19.5877
350.16718229907;+71.38276842931;    0.6288;   -3.437;   -2.686;20.6475;20.8649;19.8597
350.15028512050;+71.38227205060;   -0.7108;   13.700;    0.083;20.9033;21.2455;20.0924
350.17173688947;+71.37858631240;    0.1464;   -5.243;    1.144;19.3450;20.1363;18.4664
350.15866433814;+71.39269067830;          ;         ;         ;17.8401;18.2099;16.6917
350.21044696016;+71.39409781399;    0.9828;  -15.067;   -3.805;18.0728;19.1491;17.0249
350.14965187169;+71.38704232973;    1.0955;   -1.482;    1.774;20.7719;21.0268;20.1969
350.13935910684;+71.39329788937;    0.1102;   -2.807;   -1.089;19.6893;20.4357;18.7134
350.20589424399;+71.40916242439;    0.2916;   -3.110;   -1.737;20.2397;21.0368;19.4109
350.17150814756;+71.39391873213;    0.7057;  -11.497;   -3.564;18.1888;19.0270;17.2122
350.19490334350;+71.38647738083;    0.1570;   -5.256;    1.873;19.8237;20.3960;18.6803
350.22446870110;+71.39469231469;   -0.3413;   -3.275;   -0.071;20.4767;20.6410;19.5290
350.13924009188;+71.38803627449;    0.1757;   -2.298;   -1.135;17.7630;18.4015;17.0024
350.22501018221;+71.39397793814;          ;         ;         ;20.8547;       ;
350.14005121925;+71.37918221896;   -0.0508;    0.388;    1.705;19.8690;20.7371;18.9606
350.14903562317;+71.38072354040;    0.3641;   -1.436;    1.310;18.8463;19.4537;18.0593
350.16790579698;+71.39414959551;    1.7892;   -5.485;    1.390;20.6967;21.0240;19.4436
350.12816712619;+71.39327816212;   -1.7658;   -0.949;   -0.785;20.6788;20.8288;19.7101
350.20039508518;+71.39011289452;    0.6241;    1.789;    0.808;20.2955;21.0585;19.1655
350.20887908358;+71.39367414343;   -0.9223;    1.587;    0.731;20.2954;20.3496;19.4582
350.20957838156;+71.40602160818;   -0.0631;   -1.546;    0.625;18.9151;19.6818;17.9952
350.14895607600;+71.37953246459;          ;         ;         ;21.1673;       ;
349.97988938748;+71.40431876110;    0.0950;   -1.191;   -0.616;18.4160;18.8594;17.6688
349.97245391962;+71.40053988201;    0.0632;   -0.847;   -0.210;18.6360;19.2741;17.8180
349.99253016414;+71.39945515537;   -0.0248;   -0.653;    1.377;19.4992;19.9278;18.6034
349.95121345278;+71.40008080132;    0.6415;    5.467;    7.605;18.3966;19.0692;17.4940
349.99927217330;+71.41045115621;    0.6744;   -1.976;   -0.745;19.3101;19.8421;18.3705
349.96245569821;+71.40362099350;    0.5020;   -2.329;   -1.067;20.1945;21.3509;19.0155
349.99763636998;+71.41532288752;    0.7312;   -1.768;   -1.571;19.5048;20.2189;18.5506
349.99544229453;+71.40564518992;   -0.0940;   -0.475;    0.980;20.6036;20.7395;19.4968
349.96097603028;+71.38961515733;   -0.9477;    4.427;    1.435;20.9316;20.7615;20.2208
349.99529105262;+71.39818734457;          ;         ;         ;20.9992;21.3528;19.5327
349.94004228826;+71.40057542475;    0.0510;   -1.556;    0.391;17.9704;18.5031;17.2718
